id,Location,return_date,start_ date,FF2,item_description,quantity,cost_amount
353,2790_1520 INT MOLLYINCHS ROOM,2011/7/8,2011/6/8,LP,SONIC CARE TOOTHBRUSH_BB&B,20,139.99
354,2790_1520 INT MOLLYINCHS ROOM,2011/7/8,2011/6/8,TAX,SONIC CARE TOOTHBRUSH_BB&B,0,12.25
355,2790_1520 INT MOLLYINCHS ROOM,2011/7/8,2011/6/8,LP,QN COMFORTER_BB&B,6,139.99
356,2790_1520 INT MOLLYINCHS ROOM,2011/7/8,2011/6/8,TAX,QN COMFORTER_BB&B,0,12.25
357,2790_1520 INT MOLLYINCHS ROOM,2011/7/8,2011/6/8,LP,SM BRN SIDE TBL_PIER 1,1,99.98
358,2790_1520 INT MOLLYINCHS ROOM,2011/7/8,2011/6/8,TAX,SM BRN SIDE TBL_PIER 1,0,8.75
359,2790_1520 INT MOLLYINCHS ROOM,2011/7/8,2011/6/8,LP,BRN RND OCCASIONAL TBL_PIER 1,1,129.95
360,2790_1520 INT MOLLYINCHS ROOM,2011/7/8,2011/6/8,TAX,BRN RND OCCASIONAL TBL_PIER 1,0,11.37
361,2790_1520 INT MOLLYINCHS ROOM,2011/7/8,2011/6/8,LP,BLK/WHT ACCENT CHR_OFFICEMAX,15,99.99
362,2790_1520 INT MOLLYINCHS ROOM,2011/7/8,2011/6/8,TAX,BLK/WHT ACCENT CHR_OFFICEMAX,0,8.75
363,2790_1520 INT MOLLYINCHS ROOM,2011/7/8,2011/6/8,LP,JEWEL MIRROR_PIER 1,4,149.95
364,2790_1520 INT MOLLYINCHS ROOM,2011/7/8,2011/6/8,LP,JEWEL MIRROR_PIER 1,0,13.5
365,2790_1520 INT MOLLYINCHS ROOM,2011/7/8,2011/6/8,LP,LRG RATTAN LAMP_PIER 1,17,99
366,2790_1520 INT MOLLYINCHS ROOM,2011/7/8,2011/6/8,TAX,LRG RATTAN LAMP_PIER 1,0,8.91
367,2790_1520 INT MOLLYINCHS ROOM,2011/7/8,2011/6/8,LP,TALL BOOKSHELF_PIER 1,15,143.96
368,2790_1520 INT MOLLYINCHS ROOM,2011/7/8,2011/6/8,TAX,TALL BOOKSHELF_PIER 1,0,12.95
369,2790_1520 INT MOLLYINCHS ROOM,2011/7/8,2011/6/8,LP,7X9 GRN FLORENTINE DISH_MIGNON,30,120
370,2790_1520 INT MOLLYINCHS ROOM,2011/7/8,2011/6/8,TAX,7X9 GRN FLORENTINE DISH_MIGNON,0,10.8
371,2790_1520 INT MOLLYINCHS ROOM,2011/7/10,2011/6/10,LP,1X QN PAISLY FLRL QLT_BB&B,5,129.99
372,2790_1520 INT MOLLYINCHS ROOM,2011/7/10,2011/6/10,TAX,1X QN PAISLY FLRL QLT_BB&B,0,11.37
373,2790_1520 INT MOLLYINCHS ROOM,2011/7/10,2011/6/10,LP,ANYA QUEEN QUILT_ANTHROPOLOGIE,2,139.95
374,2790_1520 INT MOLLYINCHS ROOM,2011/7/10,2011/6/10,TAX,ANYA QUEEN QUILT_ANTHROPOLOGIE,0,12.6
375,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,LP,BK STEPMOTHER B&N,1,5.38
376,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,TAX,BK STEPMOTHER B&N,0,0.47
377,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,LP,BK VIEW FRM THE BRIDGE B&N,5,5.38
378,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,TAX,BK VIEW FRM THE BRIDGE B&N,0,0.47
379,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,LP,BK LAUGHTER OF DEAD KINGS B&,1,5.38
380,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,TAX,BK LAUGHTER OF DEAD KINGS B&,0,0.47
381,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,LP,BK PROMISED WORLD B&N,1,5.38
382,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,TAX,BK PROMISED WORLD B&N,0,0.47
383,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,LP,BK THIRD WORLD B&N,1,6.28
384,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,TAX,BK THIRD WORLD B&N,0,0.55
385,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,LP,BK LAST LION  THE FALL AND..,1,6.28
386,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,TAX,BK LAST LION  THE FALL AND..,0,0.55
387,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,LP,BK BETRAYLA GAME B&N,1,5.38
388,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,TAX,BK BETRAYLA GAME B&N,0,0.47
389,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,LP,BK HIT HARD  A STORY OF HIT..,5,5.38
390,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,TAX,BK HIT HARD  A STORY OF HIT..,0,0.47
391,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,LP,BK GIVEN DAY B&N,1,6.28
392,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,TAX,BK GIVEN DAY B&N,0,0.55
393,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,LP,BK ADMISSION B&N,1,5.38
394,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,TAX,BK ADMISSION B&N,0,0.47
395,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,LP,BK BEDWETTER  STORIES OF CO..,1,7.18
396,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,TAX,BK BEDWETTER  STORIES OF CO..,0,0.63
397,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,LP,BK LEGEND OF SIGURD AND GUD..,1,5.38
398,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,TAX,BK LEGEND OF SIGURD AND GUD..,0,0.47
399,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,LP,BK BIG LITTLE LIFE  A MEMOIR,1,5.38
400,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,TAX,BK BIG LITTLE LIFE  A MEMOIR,0,0.47
401,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,LP,BK CATHERINE THE GREAT B&N,1,7.18
402,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,TAX,BK CATHERINE THE GREAT B&N,0,0.63
403,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,LP,BK PERFUMES B&N,150,5.38
404,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,TAX,BK PERFUMES B&N,1,0.47
405,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,LP,BK CORALINE B&N,5,5.38
406,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,TAX,BK CORALINE B&N,0,0.47
407,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,LP,BK CALLED OUT OF DARKNESS..,1,5.38
408,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,TAX,BK CALLED OUT OF DARKNESS..,0,0.47
409,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,LP,BK SECRET SPEECH B&N,1,5.38
410,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,TAX,BK SECRET SPEECH B&N,0,0.47
411,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,LP,BK TEARS IN THE DARKNESS.. B,1,6.28
412,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,TAX,BK TEARS IN THE DARKNESS.. B,0,0.55
413,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,LP,BK GATES B&N,1,5.38
414,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,TAX,BK GATES B&N,0,0.47
415,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,LP,BK DANGEROUSLY FUNNY  THE..,1,5.38
416,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,TAX,BK DANGEROUSLY FUNNY  THE..,0,0.47
417,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,LP,BK FINGER LICKININCH FIFTEEN B&,1,6.28
418,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,TAX,BK FINGER LICKININCH FIFTEEN B&,0,0.55
419,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,LP,BK WHO WERE TEH CELTS? B&N,1,7.18
420,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,TAX,BK WHO WERE TEH CELTS? B&N,0,0.63
421,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,LP,BK RHINO RANCH B&N,1,5.38
422,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,TAX,BK RHINO RANCH B&N,0,0.47
423,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,LP,BK ANIMALS MAKE US HUMAN B&N,1,5.38
424,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,TAX,BK ANIMALS MAKE US HUMAN B&N,0,0.47
425,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,LP,BK PLEA OF INSANITY B&N,1,5.38
426,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,TAX,BK PLEA OF INSANITY B&N,0,0.47
427,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,LP,BK SCANDAL OF THE SEASON B&N,1,4.48
428,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,TAX,BK SCANDAL OF THE SEASON B&N,0,0.39
429,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,LP,BK INTELLECTUAL DEVOTIONAL B,1,5.38
430,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,TAX,BK INTELLECTUAL DEVOTIONAL B,0,0.47
